Date,Se-Jong,Cheon-An,Gong-Ju
2020-11-25,345596,667934,110411
2020-11-25,345582,667960,110412
2020-11-25,345568,667986,110413
2020-11-25,345554,668012,110414
2020-11-25,345540,668038,110415
2020-11-25,345526,668064,110416
2020-11-25,345512,668090,110417
2020-11-25,345498,668116,110418
2020-11-25,345484,668142,110419
2020-11-25,345470,668168,110420
2020-11-25,345456,668194,110421
2020-11-25,345442,668220,110422
2020-11-25,345428,668246,110423
2020-11-25,345414,668272,110424
2020-11-25,345400,668298,110425
2020-11-25,345386,668324,110426
2020-11-25,345372,668350,110427
2020-11-25,345358,668376,110428
2020-11-25,345344,668402,110429
2020-11-25,345330,668428,110430
2020-11-25,345316,668454,110431
2020-11-25,345302,668480,110432
2020-11-25,345288,668506,110433
2020-11-25,345274,668532,110434
2020-11-25,345260,668558,110435
2020-11-25,345246,668584,110436
2020-11-25,345232,668610,110437
2020-11-25,345218,668636,110438
2020-11-25,345204,668662,110439
2020-11-25,345190,668688,110440
2020-11-25,345176,668714,110441
2020-11-25,345162,668740,110442
2020-11-25,345148,668766,110443
2020-11-25,345134,668792,110444
2020-11-25,345120,668818,110445
2020-11-25,345106,668844,110446
2020-11-25,345092,668870,110447
2020-11-25,345078,668896,110448
2020-11-25,345064,668922,110449
2020-11-25,345050,668948,110450
2020-11-25,345036,668974,110451
2020-11-25,345022,669000,110452
2020-11-25,345008,669026,110453
2020-11-25,344994,669052,110454
2020-11-25,344980,669078,110455
2020-11-25,344966,669104,110456
2020-11-25,344952,669130,110457
2020-11-25,344938,669156,110458
2020-11-25,344924,669182,110459
2020-11-25,344910,669208,110460
2020-11-25,344896,669234,110461
2020-11-25,344882,669260,110462
2020-11-25,344868,669286,110463
2020-11-25,344854,669312,110464
2020-11-25,344840,669338,110465
2020-11-25,344826,669364,110466
2020-11-25,344812,669390,110467
2020-11-25,344798,669416,110468
2020-11-25,344784,669442,110469
2020-11-25,344770,669468,110470
2020-11-25,344756,669494,110471
2020-11-25,344742,669520,110472
2020-11-25,344728,669546,110473
2020-11-25,344714,669572,110474
2020-11-25,344700,669598,110475
2020-11-25,344686,669624,110476
2020-11-25,344672,669650,110477
2020-11-25,344658,669676,110478
2020-11-25,344644,669702,110479
2020-11-25,344630,669728,110480
2020-11-25,344616,669754,110481
2020-11-25,344602,669780,110482
2020-11-25,344588,669806,110483
2020-11-25,344574,669832,110484
2020-11-25,344560,669858,110485
2020-11-25,344546,669884,110486
2020-11-25,344532,669910,110487
2020-11-25,344518,669936,110488
2020-11-25,344504,669962,110489
2020-11-25,344490,669988,110490
2020-11-25,344476,670014,110491
2020-11-25,344462,670040,110492
2020-11-25,344448,670066,110493
2020-11-25,344434,670092,110494
2020-11-25,344420,670118,110495
2020-11-25,344406,670144,110496
2020-11-25,344392,670170,110497
2020-11-25,344378,670196,110498
2020-11-25,344364,670222,110499
2020-11-25,344350,670248,110500
2020-11-25,344336,670274,110501
2020-11-25,344322,670300,110502
2020-11-25,344308,670326,110503
2020-11-25,344294,670352,110504
2020-11-25,344280,670378,110505
2020-11-25,344266,670404,110506
2020-11-25,344252,670430,110507
2020-11-25,344238,670456,110508
2020-11-25,344224,670482,110509
2020-11-25,344210,670508,110510
2020-11-25,344196,670534,110511
2020-11-25,344182,670560,110512
2020-11-25,344168,670586,110513
2020-11-25,344154,670612,110514
2020-11-25,344140,670638,110515
2020-11-25,344126,670664,110516
2020-11-25,344112,670690,110517
2020-11-25,344098,670716,110518
2020-11-25,344084,670742,110519
2020-11-25,344070,670768,110520
2020-11-25,344056,670794,110521
2020-11-25,344042,670820,110522
2020-11-25,344028,670846,110523
2020-11-25,344014,670872,110524
2020-11-25,344000,670898,110525
2020-11-25,343986,670924,110526
2020-11-25,343972,670949,110527
2020-11-25,343958,670974,110528
2020-11-25,343944,670999,110529
2020-11-25,343930,671024,110530
2020-11-25,343916,671049,110531
2020-11-25,343902,671074,110532
2020-11-25,343888,671099,110533
2020-11-25,343874,671124,110534
2020-11-25,343860,671149,110535
2020-11-25,343846,671174,110536
2020-11-25,343832,671199,110537
2020-11-25,343818,671224,110538
2020-11-25,343804,671249,110539
2020-11-25,343790,671274,110540
2020-11-25,343776,671299,110541
2020-11-25,343762,671324,110542
2020-11-25,343748,671349,110543
2020-11-25,343734,671374,110544
2020-11-25,343720,671399,110545
2020-11-25,343706,671424,110546
2020-11-25,343692,671449,110547
2020-11-25,343679,671474,110548
2020-11-25,343666,671499,110549
2020-11-25,343653,671524,110550
2020-11-25,343640,671549,110551
2020-11-25,343627,671574,110552
2020-11-25,343614,671599,110553
2020-11-25,343601,671624,110554
2020-11-25,343588,671649,110555
2020-11-25,343575,671674,110556
2020-11-25,343562,671699,110557
2020-11-25,343549,671724,110558
2020-11-25,343536,671749,110559
2020-11-25,343523,671774,110560
2020-11-25,343510,671799,110561
2020-11-25,343497,671824,110562
2020-11-25,343484,671849,110563
2020-11-25,343471,671874,110564
2020-11-25,343458,671899,110565
2020-11-25,343445,671924,110566
2020-11-25,343432,671949,110567
2020-11-25,343419,671974,110568
2020-11-25,343406,671999,110569
2020-11-25,343393,672024,110570
2020-11-25,343380,672049,110571
2020-11-25,343367,672074,110572
2020-11-25,343354,672099,110573
2020-11-25,343341,672124,110574
2020-11-25,343328,672149,110575
2020-11-25,343315,672174,110576
2020-11-25,343302,672199,110577
2020-11-25,343289,672224,110578
2020-11-25,343276,672249,110579
2020-11-25,343263,672274,110580
2020-11-25,343250,672299,110581
2020-11-25,343237,672324,110582
2020-11-25,343224,672349,110583
2020-11-25,343211,672374,110584
2020-11-25,343198,672399,110585
2020-11-25,343185,672424,110586
2020-11-25,343172,672449,110587
2020-11-25,343159,672474,110588
2020-11-25,343146,672499,110589
2020-11-25,343133,672524,110590
2020-11-25,343120,672549,110591
2020-11-25,343107,672574,110592
2020-11-25,343094,672599,110593
2020-11-25,343081,672624,110594
2020-11-25,343068,672649,110595
2020-11-25,343055,672674,110596
2020-11-25,343042,672699,110597
2020-11-25,343029,672724,110598
2020-11-25,343016,672749,110599
2020-11-25,343003,672774,110600
2020-11-25,342990,672799,110601
2020-11-25,342977,672824,110602
2020-11-25,342964,672849,110603
2020-11-25,342951,672874,110604
2020-11-25,342938,672899,110605
2020-11-25,342925,672924,110606
2020-11-25,342912,672949,110607
2020-11-25,342899,672974,110608
2020-11-25,342886,672999,110609
2020-11-25,342873,673024,110610
2020-11-25,342860,673049,110611
2020-11-25,342847,673074,110612
2020-11-25,342834,673099,110613
2020-11-25,342821,673124,110614
2020-11-25,342808,673149,110615
2020-11-25,342795,673174,110616
2020-11-25,342782,673199,110617
2020-11-25,342769,673224,110618
2020-11-25,342756,673249,110619
2020-11-25,342743,673274,110620
2020-11-25,342730,673299,110621
2020-11-25,342717,673324,110622
2020-11-25,342704,673349,110623
2020-11-25,342691,673374,110624
2020-11-25,342678,673399,110625
2020-11-25,342665,673424,110626
2020-11-25,342652,673449,110627
2020-11-25,342639,673474,110628
2020-11-25,342626,673499,110629
2020-11-25,342613,673524,110630
2020-11-25,342600,673549,110631
2020-11-25,342587,673574,110632
2020-11-25,342574,673599,110633
2020-11-25,342561,673624,110634
2020-11-25,342548,673649,110635
2020-11-25,342535,673674,110636
2020-11-25,342522,673699,110637
2020-11-25,342509,673724,110638
2020-11-25,342496,673749,110639
2020-11-25,342483,673774,110640
2020-11-25,342470,673799,110641
2020-11-25,342457,673824,110642
2020-11-25,342444,673849,110643
2020-11-25,342431,673874,110644
2020-11-25,342418,673899,110645
2020-11-25,342405,673924,110646
2020-11-25,342392,673949,110647
2020-11-25,342379,673974,110648
2020-11-25,342366,673999,110649
2020-11-25,342353,674024,110650
2020-11-25,342340,674049,110651
2020-11-25,342327,674074,110652
2020-11-25,342314,674099,110653
2020-11-25,342301,674124,110654
2020-11-25,342288,674149,110655
2020-11-25,342275,674174,110656
2020-11-25,342262,674199,110657
2020-11-25,342249,674224,110658
2020-11-25,342236,674249,110659
2020-11-25,342223,674274,110660
2020-11-25,342210,674299,110661
2020-11-25,342197,674324,110662
2020-11-25,342184,674349,110663
2020-11-25,342171,674374,110664
2020-11-25,342158,674399,110665
2020-11-25,342145,674424,110666
2020-11-25,342132,674449,110667
2020-11-25,342119,674474,110668
2020-11-25,342106,674499,110669
2020-11-25,342093,674524,110670
2020-11-25,342080,674549,110671
2020-11-25,342067,674574,110672
2020-11-25,342054,674599,110673
2020-11-25,342041,674624,110674
2020-11-25,342028,674649,110675
2020-11-25,342015,674674,110676
2020-11-25,342002,674699,110677
2020-11-25,341989,674724,110678
2020-11-25,341976,674749,110679
2020-11-25,341963,674774,110680
2020-11-25,341950,674799,110681
2020-11-25,341937,674824,110682
2020-11-25,341924,674849,110683
2020-11-25,341911,674874,110684
2020-11-25,341898,674899,110685
2020-11-25,341885,674924,110686
2020-11-25,341872,674949,110687
2020-11-25,341859,674974,110688
2020-11-25,341846,674999,110689
2020-11-25,341833,675024,110690
2020-11-25,341820,675049,110691
2020-11-25,341807,675074,110692
2020-11-25,341794,675099,110693
2020-11-25,341781,675124,110694
2020-11-25,341768,675149,110695
2020-11-25,341755,675174,110696
2020-11-25,341742,675199,110697
2020-11-25,341729,675224,110698
2020-11-25,341716,675249,110699
2020-11-25,341703,675274,110700
2020-11-25,341690,675299,110701
2020-11-25,341677,675324,110702
2020-11-25,341664,675349,110703
2020-11-25,341651,675374,110704
2020-11-25,341638,675399,110705
2020-11-25,341625,675424,110706
2020-11-25,341612,675449,110707
2020-11-25,341599,675474,110708
2020-11-25,341586,675499,110709
2020-11-25,341573,675524,110710
2020-11-25,341560,675549,110711
2020-11-25,341547,675574,110712
2020-11-25,341534,675599,110713
2020-11-25,341521,675624,110714
2020-11-25,341508,675649,110715
2020-11-25,341495,675674,110716
2020-11-25,341482,675699,110717
2020-11-25,341469,675724,110718
2020-11-25,341456,675749,110719
2020-11-25,341443,675774,110720
2020-11-25,341430,675799,110721
2020-11-25,341417,675824,110722
2020-11-25,341404,675849,110723
2020-11-25,341391,675874,110724
2020-11-25,341378,675899,110725
2020-11-25,341365,675924,110726
2020-11-25,341352,675949,110727
2020-11-25,341339,675974,110728
2020-11-25,341326,675999,110729
2020-11-25,341313,676024,110730
2020-11-25,341300,676049,110731
2020-11-25,341287,676074,110732
2020-11-25,341274,676099,110733
2020-11-25,341261,676124,110734
2020-11-25,341248,676149,110735
2020-11-25,341235,676174,110736
2020-11-25,341222,676199,110737
2020-11-25,341209,676224,110738
2020-11-25,341196,676249,110739
2020-11-25,341183,676274,110740
2020-11-25,341170,676299,110741
2020-11-25,341157,676324,110742
2020-11-25,341144,676349,110743
