Date,Se-Jong,Cheon-An,Gong-Ju
2070-8-25,317799.0,919113,122278
2070-9-25,317865.0,919415,122310
2070-10-25,317931.0,919717,122342
2070-11-25,317997.0,920019,122374
2070-12-25,318063.0,920321,122406
2071-1-25,318130.0,920622,122438
2071-2-25,318197.0,920923,122470
2071-3-25,318264.0,921224,122502
2071-4-25,318331.0,921525,122534
2071-5-25,318398.0,921826,122566
2071-6-25,318465.0,922127,122598
2071-7-25,318532.0,922428,122630
2071-8-25,318599.0,922729,122662
2071-9-25,318666.0,923030,122694
2071-10-25,318733.0,923331,122726
2071-11-25,318800.0,923632,122758
2071-12-25,318867.0,923932,122790
2072-1-25,318934.0,924232,122822
2072-2-25,319001.0,924532,122854
2072-3-25,319069.0,924832,122886
2072-4-25,319137.0,925132,122918
2072-5-25,319205.0,925432,122950
2072-6-25,319273.0,925732,122982
2072-7-25,319341.0,926032,123014
2072-8-25,319409.0,926332,123046
2072-9-25,319477.0,926632,123078
2072-10-25,319545.0,926932,123110
2072-11-25,319613.0,927232,123142
2072-12-25,319681.0,927531,123174
2073-1-25,319749.0,927830,123206
2073-2-25,319817.0,928129,123238
2073-3-25,319885.0,928428,123271
2073-4-25,319953.0,928727,123304
2073-5-25,320021.0,929026,123337
2073-6-25,320090.0,929325,123370
2073-7-25,320159.0,929624,123403
2073-8-25,320228.0,929923,123436
2073-9-25,320297.0,930222,123469
2073-10-25,320366.0,930521,123502
2073-11-25,320435.0,930820,123535
2073-12-25,320504.0,931119,123568
2074-1-25,320573.0,931417,123601
2074-2-25,320642.0,931715,123634
2074-3-25,320711.0,932013,123667
2074-4-25,320780.0,932311,123700
2074-5-25,320849.0,932609,123733
2074-6-25,320918.0,932907,123766
2074-7-25,320987.0,933205,123799
2074-8-25,321056.0,933503,123832
2074-9-25,321125.0,933801,123865
2074-10-25,321195.0,934099,123898
2074-11-25,321265.0,934397,123931
2074-12-25,321335.0,934695,123964
2075-1-25,321405.0,934993,123997
2075-2-25,321475.0,935291,124030
2075-3-25,321545.0,935588,124063
2075-4-25,321615.0,935885,124096
2075-5-25,321685.0,936182,124129
2075-6-25,321755.0,936479,124162
2075-7-25,321825.0,936776,124195
2075-8-25,321895.0,937073,124228
2075-9-25,321965.0,937370,124261
2075-10-25,322035.0,937667,124294
2075-11-25,322105.0,937964,124327
2075-12-25,322175.0,938261,124360
2076-1-25,322245.0,938558,124393
2076-2-25,322315.0,938855,124426
2076-3-25,322385.0,939152,124459
2076-4-25,322456.0,939449,124492
2076-5-25,322527.0,939746,124525
2076-6-25,322598.0,940042,124558
2076-7-25,322669.0,940338,124591
2076-8-25,322740.0,940634,124624
2076-9-25,322811.0,940930,124657
2076-10-25,322882.0,941226,124690
